,name,varname,label,type,retain,label_short
1,idauniq,id,UNIQUE INDIVIDUAL SERIAL NUMBER,design,TRUE,personal identifier
2,wave,wave,NA,design,TRUE,wave identifier
3,dimar,marital,SUBJECT~S CURRENT LEGAL MARITAL STATUS,demographic,TRUE,Current legal marital status
4,hedia01,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
5,hedia02,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
6,hedia03,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
7,hedia04,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
8,hedia05,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
9,hedia06,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
10,hedia07,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
11,hedia08,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
12,hedia09,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
13,hedia10,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
14,heage,,APPROXIMATELY HOW OLD WERE YOU WHEN FIRST TOLD BY A DOCTOR THAT YOU HAD A STROKE,,,
15,hedib01,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
16,hedib02,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
17,hedib03,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
18,hedib04,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
19,hedib05,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
20,hedib06,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
21,hedib07,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
22,hedib08,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
23,hedib09,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
24,hedib10,,HAS A DOCTOR EVER TOLD YOU THAT YOU [HAVE/HAVE HAD] ANY OF THE CONDITIONS IN THI,,,
25,hesmk,smoke,HAVE YOU EVER SMOKED CIGARETTES?,substance,TRUE,Ever smoked cigarrettes?
26,heala,alcohol,IN THE PAST 12 MONTHS HAVE YOU TAKEN AN ALCOHOLIC DRINK �? {FREQUENCY}.,substance,TRUE,Drinks in past 12 months
27,heacta,,DO YOU TAKE PART IN SPORTS OR ACTIVITIES THAT ARE VIGOROUS �.? {FREQUENCY IN DAI,physact,,
28,heactb,,DO YOU TAKE PART IN SPORTS OR ACTIVITIES THAT ARE MODERATELY ENERGETIC �.? {FREQ,physact,,
29,heactc,,DO YOU TAKE PART IN SPORTS OR ACTIVITIES THAT ARE MILDLY ENERGETIC�.? {FREQUENCY,physact,,
30,mmwlka,,TIME TAKEN FOR FIRST WALK (SECONDS),,,
31,mmwlkb,,TIME TAKEN FOR SECOND WALK (SECONDS),,,
32,cflisen,word_recall_im,NOW PLEASE TELL ME THE WORDS THAT YOU CAN RECALL. ENTER NUMBER OF WORDS RECALLED,cognitive,TRUE,Number of words recalled immdeiately
33,cfani,animals, NUMBER OF ANIMALS MENTIONED AFTER REQUEST TO LIST AS MANY AS POSSIBLE IN ONE MI,cognitive,TRUE,Animals mentioned in 1 minute
34,cfmem,,WHETHER PROMPTED - DO WHATEVER YOU THINK YOU ARE SUPPOSED TO - AFTER ASKING - YO,,,
35,cfpascr,,SCORE ON PROSPECTIVE MEMORY TEST 1(CLIPBOARD),,,
36,cflisd,word_recall_de,RECORD NUMBER OF WORDS CORRECTLY REMEMBERED AFTER DELAY HERE. SAY: A LITTLE WHIL,cognitive,TRUE,Number of words recalled after delay
37,cfmscr,,COMPUTED SCORE FROM NUMERACY QUESTIONS (0-6),,,
38,cfpbscr,,SCORE ON PROSPECTIVE MEMORY 2,,,
39,cfptscr,,TOTAL PROSPECTIVE MEMORY SCORE (CFPASCR+CFPBSCR),,,
40,cfwhz1,,FACTOR 1 IMPAIRING COGNITIVE FUNCTION PERFORMANCE (MULTIPLE RESPONSE),,,
41,cfwhz2,,FACTOR 2 IMPAIRING COGNITIVE FUNCTION PERFORMANCE (MULTIPLE RESPONSE),,,
42,cfwhz3,,FACTOR 3 IMPAIRING COGNITIVE FUNCTION PERFORMANCE (MULTIPLE RESPONSE),,,
43,cfwhz4,,FACTOR 4 IMPAIRING COGNITIVE FUNCTION PERFORMANCE (MULTIPLE RESPONSE),,,
44,psceda,,"MUCH OF THE TIME DURING THE PAST WEEK, HAVE YOU FELT DEPRESSED? ",,,
45,pscedb,,"MUCH OF THE TIME DURING THE PAST WEEK, HAVE YOU FELT THAT EVERYTHING YOU DID WAS",,,
46,pscedc,,"MUCH OF THE TIME DURING THE PAST WEEK, HAS YOUR SLEEP BEEN RESTLESS? ",,,
47,pscedd,,"MUCH OF THE TIME DURING THE PAST WEEK, WERE YOU HAPPY? ",,,
48,pscede,,"MUCH OF THE TIME DURING THE PAST WEEK, HAVE YOU FELT LONELY? ",,,
49,pscedf,,"MUCH OF THE TIME DURING THE PAST WEEK, HAVE YOU ENJOYED LIFE? ",,,
50,pscedg,,"MUCH OF THE TIME DURING THE PAST WEEK, HAVE YOU FELT SAD? ",,,
51,pscedh,,"MUCH OF THE TIME DURING THE PAST WEEK, COULD YOU NOT GET GOING? ",,,
52,edqual,edu,(D) HIGHEST EDUCATIONAL QUALIFICATION AT ELSA W1,demographic,TRUE,Highest education
53,scfamm,,HOW MANY OF THESE FAMILY MEMBERS WOULD YOU SAY YOU HAVE A  CLOSE RELAT,,,
54,scsca,,I REALLY FEEL PART OF THIS AREA/I FEEL THAT I DON~T BELONG IN THIS AREA,,,
55,scscc,,I OFTEN FEEL LONELY LIVING IN THIS AREA/I HAVE NEVER FELT LONELY LIVING IN THIS ,,,
56,intdatm,,MONTH OF HOUSEHOLD INTERVIEW,,,
57,intdaty,,YEAR OF HOUSEHOLD INTERVIEW,,,
58,iintdtm,,MONTH OF INDIVIDUAL INTERVIEW: MONTH OF DATE: TODAY~S DATE,,,
59,iintdty,,YEAR OF INDIVIDUAL INTERVIEW: YEAR OF DATE: TODAY~S DATE,,,
