"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,part1,,text,"Record ID",,,,,,,,,,,,,
pcs_id,part1,,text,pcs_id,,,integer,1,,,,y,,,,,
investigation,part1,,text,investigation,,,,,,,,y,,,,,
process_a,part1,,text,process_a,,,,,,,,y,,,,,
process_b,part1,,text,process_b,,,,,,,,,,,,,
model_type,part1,,text,model_type,,,,,,,,y,,,,,
subgroup,part1,,text,subgroup,,,,,,,,y,,,,,
process_a_stem,part1,,text,process_a_stem,,,,,,,,y,,,,,
process_b_stem,part1,,text,process_b_stem,,,,,,,,y,,,,,
process_a_waves,part1,,text,process_a_waves,,,,,,,,y,,,,,
process_b_waves,part1,,text,process_b_waves,,,,,,,,y,,,,,
process_a_names,part1,,text,"process_a_names (includes the wave qualifier)",,,,,,,,y,,,,,
process_b_names,part1,,text,"process_b_names (includes the wave qualifier)",,,,,,,,y,,,,,
model_tag,part1,,text,model_tag,,,,,,,,y,,,,,
path_data,part1,,text,path_data,,,,,,,,y,,,,,
path_inp,part1,,text,"path to the Mplus inp file (for input/syntax)",,,,,,,,y,,,,,
path_out,part1,,text,"Path to the Mplus out file (for output/results)",,,,,,,,y,,,,,
mplus_filter_1,part1,,text,"Enter any Mplus filtering syntax you'd like to use to remove participants from the model.",,,,,,,,y,,,,,"example: `dementia_ever NE 1`"
mplus_syntax,part2,,notes,"The contents of the eventual inp file",,,,,,,,,,,,,
mplus_output,part3,,notes,"Contents of the *.out file",,,,,,,,,,,,,
aic,part4,,text,aic,,,,,,,,,,,,,
bic,part4,,text,bic,,,,,,,,,,,,,
