Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
survey_id,preconference_survey,,text,Survey ID,,,,,,,,,,,,,
investigation,preconference_survey,Introductions,radio,Please indicate the longitudinal study that you will be driving during this Coordinated Analysis with Replication (CAR) workshop.,"1, EAS | 2, ELSA | 3, HRS | 4, ILSE | 5, LASA | 6, MAP | 7, NUAGE | 8, OCTO | 9, SATSA",,,,,,,,,,,,
institution,preconference_survey,,text,"What Institutions are associated with your 
investigation? 

",,Please separate with semicolons,,,,,,,,,,,
email_address,preconference_survey,,notes,"What email address(es) should be used to direct 
information about the Feb 2015 IALSA workshop in 
Portland?

",,Please separate,,,,,,,,,,,
r_studio_feel,preconference_survey,,slider,"How do you feel about R & RStudio? 

",Down with proletarait | Huh? | I have a signed book by John Chambers,Please place a mark on the scale above,,,,,,,,,,,
mplus_feel,preconference_survey,,slider,How do you feel about Mplus?,I have a tattoo of Bengt | Huh? | Down with the proletarait,Place a mark on the scale above,,,,,,,,,,,
i_certify,preconference_survey,,radio,"By checking this box, I certify that i will behave 
myself in Portland, and not specifically ask the
waitress for closed-range, inorganic chicken at any
restaurant (or harass the locals in any other way).","1, I consent",Is the chicken local?,,,,,,,,,,,
baseline,preconference_survey,"Temporal Design                                                                                                                                                                                                                                                                                                                                   (If the variables is not available, leave the respective text box blank)",text,"How many waves does [your study] contain? (include the baseline, enter as an integer.",,"(e.g. ""3"",""7"", etc., without the quotes)",,,,,,,,,,,
wave_sample_size,preconference_survey,,text,"What is the sample size at each wave? Enter as integers (starting with baseline) separated by spaces.
",,"(e.g. ""659 560 424"", ""1120 1058 998 845 724 667 301"", etc.)",,,,,,,,,,,
baseline_measure_calendar_year,preconference_survey,,text,Enter the [calendar year] of the baseline measure. ,,"(e.g. ""1978"", without the quotes)",,,,,,,,,,,
name_variable_year_of_birth,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring the respondents' [year of birth]?",,,,,,,,,,,,,
name_variable_year_of_death,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring the respondents' [age at death]?",,,,,,,,,,,,,
name_variable_baseline_age,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring the [age] of respondents at baseline?",,,,,,,,,,,,,
name_variable_age_at_wave,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring respondents' [age at wave]? 
Enter only the stem, without the wave indicator and the separator character.
",,"For example, if your variable names are ""Age_at_visit_1"", ""Age_at_visit_3"", and ""Age_at_visit_6"" then enter ""Age_at_visit"" into the text box (without the quotes)",,,,,,,,,,,
waves_at_for_all_ages,preconference_survey,,text,"Enter each wave for which [age at wave] is available in your dataset using numbers separated by spaces.
",,"For example: ""1 2 3 4 5"", ""2 4 6"", ""1 3 7"", etc. (without the quotes).",,,,,,,,,,,
name_variable_unique_identifier,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable of respondent's [Unique identifier]?",,,,,,,,,,,,,
name_variable_twin_identifier,preconference_survey,Demographics,text,"In your dataset, what is the exact name (case sensitive) of the variable of respondent's [Twin identifier]? (if any)",,,,,,,,,,,,,
name_variable_sex_baseline,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring respondents' [Sex] at baseline?",,,,,,,,,,,,,
name_variable_education_baseline,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring respondents' [Education] at baseline?",,,,,,,,,,,,,
name_variable_ses_baseline,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring respondents' [Socio-economic Status] at baseline?",,,,,,,,,,,,,
name_variable_marital_status_baseline,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable measuring respondents' [Marital status] at baseline?",,,,,,,,,,,,,
physical_name_pef,preconference_survey,Physical Measures ,text,"In your dataset, what is the exact name (case sensitive) of the variable that measures [PEF], operationalizing the construct [pulmonary]?
Enter only the stem, without the wave indicator and the separator character.
                                                                                                                            ",,"For example, if your variable names are ""PEF_1"", ""PEF_3"", and ""PEF_6"" then enter ""PEF"" into the text box (without the quotes)                                                                                                         
",,,,,,,,,,,
physical_waves_pef,preconference_survey,,text,"Enter each wave for which [PEF] is available in your dataset using numbers separated by spaces.
",,"For example: ""1 2 3 4 5"", ""2 4 6"", ""1 3 7"", etc. (without the quotes). 
Feel free to copy paste this response into the blanks of the remaining items, if time points are the same.",,,,,,,,,,,
physical_name_fev,preconference_survey,,text,"In your dataset, what is the exact name (case sensitive) of the variable that measures [FEV], operationalizing the construct [pulmonary]?
Enter only the stem, without the wave indicator and the separator character.",,,,,,,,,,,,,
physical_waves_fev,preconference_survey,,text,"Enter each wave for which [FEV] is available in your dataset using numbers separated by spaces.
",,"For example: ""1 2 3 4 5"", ""2 4 6"", ""1 3 7"", etc. (without the quotes).",,,,,,,,,,,
